LenderID,LenderName,LenderType,LenderWebsite,ProductID,ProductName,ProductDescription,LoanPurposeEligibility,TargetBorrowerSegment,InterestRateType,MinInterestRate,MaxInterestRate,BenchmarkRate,SpreadMargin,InterestRateConcessions,InterestResetFrequency,MinLoanAmount,MaxLoanAmount,MinLoanTenureYears,MaxLoanTenureYears,ProcessingFeeType,ProcessingFeeValue,ProcessingFeeMinAmount,ProcessingFeeMaxAmount,PrepaymentCharges,PartialPrepaymentConditions,LegalFees,ValuationFees,DocumentationCharges,LatePaymentPenalty,ChequeBounceFee,MinAgeYears,MaxAgeAtOriginationYears,MaxAgeAtMaturityYears,MinNetMonthlyIncome,MinWorkExperienceYears,MinBusinessVintageYears,MinCreditScore,MaxDTI,MaxFOIR,AcceptableCoApplicants,MaxLTVRatioTier1,MaxLTVRatioTier2,MaxLTVRatioTier3,AcceptablePropertyTypes,MaxPropertyAgeYears,ApprovedLocations,InsuranceRequirements,MoratoriumPeriod,EMIHolidayOption,StepUpEMIOption,StepDownEMIOption,OverdraftFacility,BalanceTransferOption,TopUpLoanOption,PMAYEligibility,DigitalApplication,QuickSanctionTAT,USPs,IsActive,LastUpdatedDate
10,UCO Bank,Public Sector Bank,https://www.ucobank.com,11,Gold Home Finance Scheme,A comprehensive home loan solution from UCO Bank designed to fulfill your dream of owning a home.,"Purchase of resale property, Home renovation, Plot purchase plus construction, Top-up loan, Purchase of new property, Balance transfer","Women borrower, Self-Employed Non-Professional, Self-Employed Professional, Salaried",Floating,8.48,9.36,MCLR,1.48,None,Annually,300000,50000000,1,25,FixedAmount,5000,5000,5000,Nil (as per RBI guidelines),"No restrictions on frequency, minimum amount 1 lakh",5000,5000,1000,₹1000 flat fee plus 2% on overdue amount,750,23,70,70,15000,1,2,675,60,65,"Spouse, Parents, Children, Siblings",85,77,72,"Villa, Under-construction property, Apartment",25,"Ahmedabad, Lucknow, Kochi, Navi Mumbai, Thane, Coimbatore, Bangalore, Jaipur, Noida",Property insurance and loan protection plan recommended,Yes - Up to 12 months for under-construction properties,Yes - Up to 6 months for specific customer segments,No,No,Yes - Linked to home loan account with savings on interest,Yes,No,Yes,No,10 working days,"Doorstep service, Free property search assistance",True,2025-05-13
10,UCO Bank,Public Sector Bank,https://www.ucobank.com,12,Express Home Loan,Flexible home loan option from UCO Bank with attractive interest rates and minimal documentation.,"Balance transfer, Purchase of resale property, Purchase of new property, Home renovation, Plot purchase plus construction","Women borrower, Government employee, Salaried, Self-Employed Professional",Floating,8.68,10.13,RLLR,0.87,0.05% for women borrowers,Half-yearly,500000,50000000,1,20,FixedAmount,15000,15000,15000,Nil (as per RBI guidelines),"Allowed twice a year, minimum amount 10% of outstanding",3000,3000,1000,2% per month on overdue amount,1500,21,65,80,15000,1,2,650,55,55,"Spouse, Parents, Children, Siblings",90,75,70,"Row House, Apartment, Ready-to-move-in property, Plot, Under-construction property",35,"Chandigarh, Mumbai, Ahmedabad, Faridabad, Delhi, Noida, Pune, Kochi, Hyderabad, Jaipur, Lucknow",Property insurance and loan protection plan recommended,Yes - Up to 18 months for under-construction properties,Yes - Up to 6 months for specific customer segments,Yes,No,Yes - Linked to home loan account with savings on interest,No,Yes,No,Yes,3 working days,Doorstep service,True,2025-04-24
10,UCO Bank,Public Sector Bank,https://www.ucobank.com,13,Classic Suvidha Home Loan,Customized home loan package from UCO Bank catering to diverse customer needs.,"Self-construction, Purchase of resale property, Balance transfer, Purchase of new property, Home extension","Self-Employed Non-Professional, NRI, Salaried, Government employee, Women borrower",Hybrid,8.38,9.25,Internal,1.33,0.05% for women borrowers,Annually,300000,75000000,3,20,FixedAmount,10000,10000,10000,Nil (as per RBI guidelines),"Minimum 3 months between prepayments, minimum amount 2 EMIs",Actuals,Actuals,0,₹1000 flat fee plus 2% on overdue amount,1000,23,60,80,15000,2,5,675,60,60,"Spouse, Parents, Children, Siblings",87,77,72,"Independent House, Plot, Apartment",30,"Jaipur, Hyderabad, Noida, Lucknow, Delhi",Property insurance and loan protection plan recommended,Yes - Up to 12 months for under-construction properties,No,No,No,Yes - Up to 40% of loan amount,Yes,Yes,No,Yes,10 working days,"Minimal documentation, Special rates for high credit score customers",True,2025-05-10
10,UCO Bank,Public Sector Bank,https://www.ucobank.com,14,Classic Home Loan,Customized home loan package from UCO Bank catering to diverse customer needs.,"Purchase of resale property, Top-up loan, Plot purchase plus construction, Home renovation, Self-construction","Salaried, Self-Employed Professional",Floating,8.55,9.84,Internal,0.36,"0.10% for government employees, 0.05% for existing customers",Half-yearly,300000,30000000,3,20,FixedAmount,5000,5000,5000,Nil (as per RBI guidelines),"Allowed after 6 months from disbursement, minimum amount 3 EMIs",2500,3000,1000,3% p.a. on overdue amount,1000,23,65,75,25000,3,2,700,60,50,"Spouse, Parents, Children, Siblings",90,75,75,"Under-construction property, Villa, Plot, Ready-to-move-in property, Row House, Independent House",20,"Jaipur, Hyderabad, Kochi, Ahmedabad, Pune, Kolkata, Bangalore, Navi Mumbai, Delhi, Coimbatore",Both property insurance and loan protection plan mandatory,Yes - Up to 12 months for under-construction properties,Yes - Up to 6 months for specific customer segments,No,No,Yes - Up to 40% of loan amount,Yes,Yes,Yes,Yes,5 working days,None,True,2025-02-23
10,UCO Bank,Public Sector Bank,https://www.ucobank.com,15,Smart Flexi Home Loan,Affordable home financing solution from UCO Bank with quick processing and approval.,"Purchase of resale property, Balance transfer, Home extension, Self-construction, Top-up loan","Self-Employed Non-Professional, Salaried",Fixed,8.72,9.55,TBLR,1.72,None,Monthly,300000,100000000,1,20,Percentage,0.46,10000,50000,4% of outstanding principal,"No restrictions on frequency, minimum amount 1 lakh",2500,2500,0,2% per month on overdue amount,1500,23,60,80,15000,2,3,725,55,60,"Spouse, Parents, Children, Siblings",87,75,72,"Plot, Apartment, Under-construction property, Row House, Ready-to-move-in property",25,"Hyderabad, Delhi, Faridabad, Kolkata, Pune, Chandigarh, Ghaziabad, Chennai, Kochi, Mumbai, Gurgaon, Lucknow, Bangalore, Navi Mumbai, Coimbatore, Thane",Property insurance and loan protection plan recommended,Yes - Up to 12 months for under-construction properties,No,Yes,Yes,No,Yes,Yes,Yes,Yes,7 working days,Doorstep service,True,2025-03-05
11,HDFC Bank,Private Sector Bank,https://www.hdfcbank.com,16,Advantage Griha Loan,Affordable home financing solution from HDFC Bank with quick processing and approval.,"Home renovation, Home extension, Top-up loan","Salaried, NRI, Self-Employed Professional, Self-Employed Non-Professional, Agriculturist",Fixed,8.7,9.57,MCLR,1.57,None,Monthly,500000,50000000,2,25,Percentage,0.63,5000,75000,4% of outstanding principal,"No restrictions on frequency, minimum amount 1 lakh",Actuals,Actuals,2000,₹1000 flat fee plus 2% on overdue amount,1000,18,60,75,30000,2,3,675,55,60,"Spouse, Parents, Children, Siblings",85,80,70,"Under-construction property, Apartment, Ready-to-move-in property, Independent House",30,"Delhi, Thane, Gurgaon, Kolkata, Noida, Bangalore, Hyderabad, Ahmedabad, Jaipur, Navi Mumbai, Kochi, Lucknow, Faridabad",Property insurance mandatory,Yes - Up to 24 months for under-construction properties,Yes - Up to 6 months for specific customer segments,Yes,Yes,Yes - Linked to home loan account with savings on interest,Yes,Yes,Yes,Yes,3 working days,None,True,2025-03-21
12,ICICI Bank,Private Sector Bank,https://www.icicibank.com,17,Privilege Home Loan,ICICI Bank's premium home loan offering with special benefits and competitive rates.,"Top-up loan, Home renovation, Balance transfer, Purchase of resale property, Purchase of new property","Women borrower, PIO",Fixed,8.53,9.31,MCLR,1.37,0.05% for women borrowers,Half-yearly,300000,30000000,1,30,Percentage,1.0,2500,75000,3% of outstanding principal,"Allowed twice a year, minimum amount 10% of outstanding",3000,3000,2000,₹1000 flat fee plus 2% on overdue amount,750,18,65,75,25000,3,2,725,60,55,"Spouse, Parents, Children, Siblings",87,75,72,"Villa, Under-construction property, Apartment, Row House",35,"Chandigarh, Lucknow, Noida, Ghaziabad, Ahmedabad",Both property insurance and loan protection plan mandatory,Yes - Up to 12 months for under-construction properties,No,No,No,No,Yes,Yes,No,Yes,3 working days,Free property search assistance,True,2025-04-19
13,Axis Bank,Private Sector Bank,https://www.axisbank.com,18,Deluxe Premium Home Loan,Customized home loan package from Axis Bank catering to diverse customer needs.,"Self-construction, Plot purchase plus construction, Balance transfer, Home renovation, Top-up loan, Purchase of new property, Home extension, Purchase of resale property","PIO, Government employee",Floating,9.07,10.4,Internal,0.87,None,Quarterly,1000000,100000000,3,30,Percentage,0.84,5000,75000,Nil (as per RBI guidelines),"Allowed twice a year, minimum amount 10% of outstanding",Actuals,5000,2000,3% p.a. on overdue amount,750,18,65,75,40000,2,3,675,55,55,"Spouse, Parents, Children, Siblings",87,75,75,"Villa, Under-construction property, Plot, Independent House, Apartment, Ready-to-move-in property",35,"Hyderabad, Lucknow, Ahmedabad, Noida, Thane, Coimbatore, Faridabad, Chandigarh, Chennai",Property insurance and loan protection plan recommended,Yes - Up to 24 months for under-construction properties,Yes - Up to 6 months for specific customer segments,Yes,No,No,Yes,Yes,Yes,Yes,7 working days,"Doorstep service, Special rates for high credit score customers, Free property search assistance",True,2025-04-13
14,Kotak Mahindra Bank,Private Sector Bank,https://www.kotakmahindrabank.com,19,Gold Dream Home Loan,Kotak Mahindra Bank's premium home loan offering with special benefits and competitive rates.,"Home renovation, Top-up loan, Plot purchase plus construction, Purchase of new property, Home extension, Purchase of resale property, Balance transfer, Self-construction","Agriculturist, Women borrower",Fixed,9.23,10.36,TBLR,0.6,"0.05% for women borrowers, 0.05% for existing customers",Quarterly,1000000,30000000,1,25,Percentage,0.73,5000,50000,2% of outstanding principal,"Minimum 3 months between prepayments, minimum amount 2 EMIs",3000,Actuals,2000,2% per month on overdue amount,1500,18,65,75,20000,2,5,750,55,50,"Spouse, Parents, Children, Siblings",87,77,72,"Independent House, Villa, Row House, Ready-to-move-in property, Under-construction property, Plot",35,"Navi Mumbai, Hyderabad, Noida, Ahmedabad, Coimbatore, Chandigarh, Mumbai","Property insurance mandatory, loan protection plan optional",No,No,Yes,No,No,No,No,No,Yes,7 working days,"Special rates for high credit score customers, Free property search assistance",True,2025-03-20
15,IndusInd Bank,Private Sector Bank,https://www.indusindbank.com,20,Preferred Griha Loan,Customized home loan package from IndusInd Bank catering to diverse customer needs.,"Self-construction, Plot purchase plus construction, Balance transfer","Women borrower, PIO, Agriculturist, Government employee",Fixed,8.83,9.95,Internal,1.73,0.10% for government employees,Quarterly,500000,50000000,1,25,Percentage,0.59,5000,75000,4% of outstanding principal,"Minimum 3 months between prepayments, minimum amount 2 EMIs",Actuals,3000,2000,2% per month on overdue amount,1000,23,60,70,25000,3,2,725,55,65,"Spouse, Parents, Children, Siblings",87,77,72,"Villa, Ready-to-move-in property, Independent House, Plot, Apartment, Row House, Under-construction property",25,"Coimbatore, Noida, Bangalore, Thane, Ahmedabad, Lucknow, Chennai, Kochi, Gurgaon, Faridabad, Hyderabad, Delhi, Navi Mumbai, Pune, Jaipur, Mumbai, Ghaziabad, Chandigarh, Kolkata",Property insurance mandatory,No,No,No,No,Yes - Up to 40% of loan amount,Yes,Yes,Yes,Yes,Not specified,"Doorstep service, Special rates for high credit score customers",True,2025-05-11
16,Yes Bank,Private Sector Bank,https://www.yesbank.com,21,Privilege Unnati Home Loan,Flexible home loan option from Yes Bank with attractive interest rates and minimal documentation.,"Purchase of resale property, Home renovation, Self-construction","PIO, NRI, Government employee, Salaried, Self-Employed Non-Professional",Fixed,8.51,9.65,Internal,1.11,None,Annually,1000000,100000000,3,20,Percentage,0.87,2500,50000,3% of outstanding principal,"Allowed twice a year, minimum amount 10% of outstanding",3000,2500,1500,₹500 per day of delay,1500,18,70,70,25000,3,3,750,60,65,"Spouse, Parents, Children, Siblings",87,77,72,"Villa, Apartment, Plot, Under-construction property, Independent House, Row House",20,"Kochi, Kolkata, Bangalore, Jaipur, Ahmedabad, Delhi, Pune, Ghaziabad, Mumbai, Faridabad, Chandigarh, Coimbatore",Property insurance mandatory,Yes - Up to 12 months for under-construction properties,Yes - Up to 3 months once during loan tenure,Yes,No,No,Yes,Yes,Yes,Yes,3 working days,"Minimal documentation, Special rates for high credit score customers",True,2025-03-14
17,Federal Bank,Private Sector Bank,https://www.federalbank.com,22,Elite Advantage Home Loan,Federal Bank's premium home loan offering with special benefits and competitive rates.,"Purchase of new property, Balance transfer, Purchase of resale property, Home renovation, Home extension","PIO, NRI, Self-Employed Professional",Hybrid,8.57,9.62,MCLR,0.34,"0.05% for women borrowers, 0.10% for government employees",Half-yearly,500000,30000000,2,30,FixedAmount,5000,5000,5000,Nil (as per RBI guidelines),"No restrictions on frequency, minimum amount 1 lakh",2500,2500,0,2% per month on overdue amount,1500,21,70,70,40000,1,3,750,55,65,"Spouse, Parents, Children, Siblings",90,77,75,"Independent House, Ready-to-move-in property, Apartment, Row House, Plot, Villa",20,"Navi Mumbai, Ghaziabad, Jaipur, Noida, Faridabad, Kolkata, Bangalore, Mumbai, Kochi, Ahmedabad, Lucknow, Pune",Property insurance mandatory,No,Yes - Up to 6 months for specific customer segments,Yes,No,Yes - Up to 40% of loan amount,No,Yes,Yes,No,10 working days,None,True,2025-03-07
18,IDFC First Bank,Private Sector Bank,https://www.idfcfirstbank.com,23,Flexi Premium Home Loan,IDFC First Bank's premium home loan offering with special benefits and competitive rates.,"Purchase of new property, Home extension, Balance transfer, Top-up loan","Self-Employed Professional, Government employee, Agriculturist, Salaried",Floating,8.58,9.65,MCLR,1.93,None,Quarterly,1000000,30000000,3,30,FixedAmount,15000,15000,15000,Nil (as per RBI guidelines),"No restrictions on frequency, minimum amount 1 lakh",Actuals,Actuals,0,2% per month on overdue amount,500,18,60,80,30000,3,3,725,55,60,"Spouse, Parents, Children, Siblings",87,75,75,"Ready-to-move-in property, Plot, Under-construction property, Row House, Villa, Independent House, Apartment",35,"Bangalore, Delhi, Chandigarh, Gurgaon, Noida, Coimbatore, Lucknow, Jaipur",Property insurance mandatory,Yes - Up to 18 months for under-construction properties,Yes - Up to 3 months once during loan tenure,Yes,Yes,Yes - Up to 40% of loan amount,Yes,Yes,Yes,Yes,Not specified,"Doorstep service, Free property search assistance",True,2025-03-03
19,RBL Bank,Private Sector Bank,https://www.rblbank.com,24,Silver Easy Home Loan,A comprehensive home loan solution from RBL Bank designed to fulfill your dream of owning a home.,"Purchase of new property, Home renovation, Self-construction, Home extension, Plot purchase plus construction, Purchase of resale property","Self-Employed Professional, Women borrower",Fixed,8.93,9.94,Internal,0.89,None,Half-yearly,500000,30000000,3,30,Percentage,0.71,10000,75000,2% of outstanding principal,"Minimum 3 months between prepayments, minimum amount 2 EMIs",Actuals,5000,2000,2% per month on overdue amount,500,18,65,75,25000,1,5,750,45,60,"Spouse, Parents, Children, Siblings",85,80,75,"Row House, Independent House, Plot, Apartment, Under-construction property",20,"Kolkata, Noida, Ahmedabad, Kochi, Chennai, Gurgaon, Lucknow, Navi Mumbai, Faridabad, Jaipur, Thane, Ghaziabad","Property insurance mandatory, loan protection plan optional",Yes - Up to 24 months for under-construction properties,Yes - Up to 3 months once during loan tenure,No,No,Yes - Up to 40% of loan amount,Yes,Yes,Yes,Yes,7 working days,No foreclosure charges,True,2025-03-04
20,Bandhan Bank,Private Sector Bank,https://www.bandhanbank.com,25,Classic Easy Home Loan,Flexible home loan option from Bandhan Bank with attractive interest rates and minimal documentation.,"Purchase of new property, Balance transfer, Plot purchase plus construction, Purchase of resale property, Top-up loan","Self-Employed Professional, NRI",Fixed,8.68,9.83,Internal,0.93,None,Quarterly,1000000,30000000,1,20,FixedAmount,10000,10000,10000,4% of outstanding principal,"Allowed twice a year, minimum amount 10% of outstanding",2500,3000,1000,2% per month on overdue amount,1500,18,65,75,40000,1,5,700,50,65,"Spouse, Parents, Children, Siblings",87,75,75,"Row House, Villa, Independent House",20,"Ghaziabad, Gurgaon, Faridabad, Noida, Delhi, Navi Mumbai, Coimbatore, Chennai, Lucknow","Property insurance mandatory, loan protection plan optional",No,No,No,No,Yes - Up to 40% of loan amount,Yes,Yes,Yes,Yes,5 working days,No foreclosure charges,True,2025-04-08
